id,lead_key,phone,business_name,state,suburb,address,sector_level_1,sector_level_2,sector_level_3,merchant_size_estimate,location_tier,google_rating,google_rating_count
2312823,L_61182661719,61182661719,Island Hopper Brewery,NSW,Sydney,32 Cambridge Road 2064 Sydney - Artarmon,F&B,Bar / Pub / Nightlife,Café Bar  Club,Large,High,5,1
2312835,L_61245877450,61245877450,Carvery & Burger Co,NSW,Sydney,227 George Street 2756 Sydney,F&B,Quick-Service / Takeaway,Fast Food,Large,High,3.6,77
2312942,L_61280958636,61280958636,Wheel Cup Cake Catering,NSW,Sydney,"75 O Alexandria, Sydney NSW 2015",F&B,Dine-in Restaurant,Cafe,Large,High,5,95
2273808,L_610292624903,292624903,G!Bowl,NSW,Sydney,"303 Pitt St, Sydney NSW 2000",F&B,Dine-in Restaurant,Restaurant,Large,High,5,8
2313112,L_61288148351,61288148351,Kebabchi,NSW,Sydney,"Diya Foods Pty Ltd, 22/33 Holbeche Road, Arndell Park Sydney NSW 2148",F&B,Dine-in Restaurant,Restaurants,Large,High,4.4,7
2313217,L_61292110946,61292110946,Malaya on George,NSW,Sydney,761 George Street Sydney NSW 2000,F&B,Dine-in Restaurant,Restaurant,Large,High,4.5,1936
2313283,L_61292232355,61292232355,Chrysler Cafe Bar Group,NSW,Sydney,6 O Sydney NSW 2000,F&B,Dine-in Restaurant,Cafe,Large,High,4,69
2313291,L_61292239649,61292239649,Chifley Cantina,NSW,Sydney,2 Chifley Square Sydney NSW 2000,F&B,Dine-in Restaurant,Restaurant,Large,High,4.4,833
2313313,L_61292316976,61292316976,Il Gianfornaio,NSW,Sydney,Skygarden Castlereagh St Sydney NSW 2000,F&B,Dine-in Restaurant,Cafe,Large,High,4,2890
2274119,L_61472751712,61472751712,A3 (World Square),NSW,Sydney,"Shop T 9.45/644 George St, Sydney NSW 2000, Australia",F&B,Cafe & Dessert,Coffee store,Large,High,3.9,98
2313342,L_61292335950,61292335950,Pie Face Blith Street,NSW,Sydney,Lvl1/ 6 O Sydney NSW 2000,F&B,Dine-in Restaurant,Cafe,Large,High,3,126
2313374,L_61292416766,61292416766,Guillaume at Bennelong,NSW,Sydney,Bennelong Point Sydney NSW 2000,F&B,Dine-in Restaurant,Restaurant,Large,High,4.5,2107
2313370,L_61292414010,61292414010,Settlement On Quay,NSW,Sydney,Shp 1/ 33 Alfred St Sydney NSW 2000,F&B,Dine-in Restaurant,Cafe,Large,High,4,167
2313369,L_61292413979,61292413979,CQ Cafe,NSW,Sydney,1 Macquarie Pl Sydney NSW 2000,F&B,Dine-in Restaurant,Cafe,Large,High,5,4
2313364,L_61292411724,61292411724,Tour Talk International Pty Ltd,NSW,Sydney,Gateway Building Sydney NSW 2000,F&B,Dine-in Restaurant,Restaurant,Large,High,4.8,894
2313361,L_61292408136,61292408136,Menu Log,NSW,Sydney,"Suite 1, Level 5 3 Spring St Sydney NSW 2000",F&B,Dine-in Restaurant,Restaurants,Large,High,1,33
2313382,L_61292471417,61292471417,Maxwell's Takeaway & Catering Services,NSW,Sydney,7 Spring St Sydney NSW 2000,F&B,Dine-in Restaurant,Cafe,Large,High,3.5,8
2313398,L_61292514117,61292514117,Blend On George,NSW,Sydney,210 George St Sydney NSW 2000,F&B,Dine-in Restaurant,Restaurants,Large,High,4.3,15
2313388,L_61292474810,61292474810,Tongs Malay Chinese Take Away,NSW,Sydney,17-19 Bridge Street Sydney NSW 2000,F&B,Dine-in Restaurant,Restaurant,Large,High,4,197
2313381,L_61292471068,61292471068,Appetito Pizza Pasta & Bar,NSW,Sydney,135 George St Sydney NSW 2000,F&B,Dine-in Restaurant,Restaurants,Large,High,4.4,1849
2313379,L_61292470481,61292470481,Sidewalk Cafe & Bar,NSW,Sydney,14 Bennelong Point Sydney NSW 2000,F&B,Dine-in Restaurant,Cafe,Large,High,4.6,17
2313384,L_61292472862,61292472862,Splendid Sandwiches,NSW,Sydney,110 Kent St Sydney NSW 2000,F&B,Dine-in Restaurant,Restaurants,Large,High,4.6,50
2313392,L_61292510077,61292510077,MCA Cafe,NSW,Sydney,140 George St Sydney NSW 2000,F&B,Dine-in Restaurant,Restaurants,Large,High,4.3,1429
2313386,L_61292473366,61292473366,Euro Caffe,NSW,Sydney,Shp29/ 1 O Sydney NSW 2000,F&B,Dine-in Restaurant,Cafe,Large,High,4.8,89
2313389,L_61292476044,61292476044,Bambu,NSW,Sydney,"Bay 4, Overseas Passenger Terminal , Circular Quay, West Sydney Sydney NSW 2000",F&B,Dine-in Restaurant,Restaurants,Large,High,4,166
2313387,L_61292473402,61292473402,AAPC Restaurants Pty Ltd,NSW,Sydney,Australia Square Sydney NSW 2000,F&B,Dine-in Restaurant,Restaurant,Large,High,4.8,136
2313410,L_61292527547,61292527547,Pacific Opera,NSW,Sydney,9 Young St Sydney NSW 2000,F&B,Dine-in Restaurant,Restaurants,Large,High,,
2313408,L_61292524770,61292524770,Marmaris Mediterranean Foods,NSW,Sydney,225 George Street Sydney NSW 2000,F&B,Others,Food,Large,High,4.4,1203
2313419,L_61292610292,61292610292,wagamama,NSW,Sydney,"Level 1, 500 George St Sydney NSW 2000",F&B,Dine-in Restaurant,Restaurant,Large,High,4,505
2313404,L_61292521115,61292521115,Cappapino's Cafe,NSW,Sydney,U2/ 139 Macquarie St Sydney NSW 2000,F&B,Dine-in Restaurant,Cafe,Large,High,4.5,97
2313417,L_61292565171,61292565171,George Street Bar The (GSB),NSW,Sydney,199 George St Sydney NSW 2000,F&B,Dine-in Restaurant,Restaurants,Large,High,4.4,761
2313407,L_61292524726,61292524726,Barramundi,NSW,Sydney,Lang St Sydney NSW 2000,F&B,Dine-in Restaurant,Restaurants,Large,High,4.3,1448
2313405,L_61292522016,61292522016,Headlines Coffee Shop,NSW,Sydney,Alfred St Sydney NSW 2000,F&B,Dine-in Restaurant,Cafe,Large,High,4.1,928
2313412,L_61292529815,61292529815,Bread Spread,NSW,Sydney,Shop T5 Westpac Plaza 60 Margaret St Sydney NSW 2000,F&B,Dine-in Restaurant,Cafe,Large,High,4.2,5
2313422,L_61292612299,61292612299,Accord Pacific Vineyards Pty Ltd,NSW,Sydney,1 Dixon St Sydney NSW 2000,F&B,Bar / Pub / Nightlife,Wineries and Vineyards,Large,High,,
2313430,L_61292614206,61292614206,Original Peking V I P Restaurant The,NSW,Sydney,147 Castlereagh Street Sydney NSW 2000,F&B,Dine-in Restaurant,Restaurant,Large,High,,
2313428,L_61292613380,61292613380,Signature Espresso,NSW,Sydney,Shp 8/ 201 Sussex St Sydney NSW 2000,F&B,Dine-in Restaurant,Cafe,Large,High,4.8,122
2313439,L_61292622756,61292622756,363 Loby Cafe,NSW,Sydney,363 George St Sydney NSW 2000,F&B,Dine-in Restaurant,Cafe,Large,High,3,5
2313440,L_61292622936,61292622936,Delifrance Australia Pty Ltd,NSW,Sydney,395 George Street Sydney NSW 2000,F&B,Dine-in Restaurant,Restaurant,Large,High,,
2313451,L_61292627007,61292627007,Spicy Panda,NSW,Sydney,Level 1/ 8 Dixon Rd Sydney NSW 2000,F&B,Dine-in Restaurant,Restaurants,Large,High,3,5
2313441,L_61292623277,61292623277,Le Pub,NSW,Sydney,66 King St Sydney NSW 2000,F&B,Dine-in Restaurant,Restaurants,Large,High,4.7,103
2313431,L_61292614453,61292614453,Caffe Alto,NSW,Sydney,432 Kent St Sydney NSW 2000,F&B,Dine-in Restaurant,Cafe,Large,High,4.6,12429
2313438,L_61292621956,61292621956,Settlement Bar The,NSW,Sydney,251 Kent St Sydney NSW 2000,F&B,Dine-in Restaurant,Restaurants,Large,High,4.4,36
2313452,L_61292627400,61292627400,Haru Fusion Soju Lounge,NSW,Sydney,262 Castlereagh St Sydney NSW 2000,F&B,Dine-in Restaurant,Restaurants,Large,High,4,128
2313483,L_61292648226,61292648226,Mary'S,NSW,Sydney,154 Castlereagh Street 2000 Sydney,F&B,Quick-Service / Takeaway,Fast Food,Large,High,4.4,3044
2313465,L_61292642756,61292642756,Wei's International Pty Ltd,NSW,Sydney,378 Sussex St Sydney NSW 2000,F&B,Dine-in Restaurant,Restaurants,Large,High,5,7
2313464,L_61292642229,61292642229,Uno Expresso Cafe,NSW,Sydney,Shp2/ 60 Park St Sydney NSW 2000,F&B,Dine-in Restaurant,Cafe,Large,High,4.8,139
2313474,L_61292645277,61292645277,Cafe Nehos,NSW,Sydney,60a Druitt St Sydney NSW 2000,F&B,Dine-in Restaurant,Cafe,Large,High,,
2313457,L_61292629080,61292629080,Mirchi Indian,NSW,Sydney,Shp 29 680 George St Sydney NSW 2000,F&B,Dine-in Restaurant,Restaurants,Large,High,3.2,254
2313461,L_61292640930,61292640930,Ichigo Ichie,NSW,Sydney,8 Central St Sydney NSW 2000,F&B,Dine-in Restaurant,Restaurants,Large,High,4.9,61
2313467,L_61292644111,61292644111,Paradiso Cafes,NSW,Sydney,300 Pitt Street Sydney NSW 2000,F&B,Dine-in Restaurant,cafe,Large,High,4.4,885
2313472,L_61292645200,61292645200,Nature's Hive Pty Ltd,NSW,Sydney,"Shop 10, 324 Pitt St Sydney NSW 2000",F&B,Others,Wholesale Health Food Health Products Manufacturers,Large,High,5,6
2313507,L_61292675577,61292675577,Euro Espresso Bar,NSW,Sydney,Shp3/ 310 Pitt St Sydney NSW 2000,F&B,Dine-in Restaurant,Cafe,Large,High,1.9,7
